query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,146,Carol,142,True,accepted,megaloc,7.076208104103381,True,42,19,0.3494240511077113,0.5059150456530369
Alpha,146,Bob,148,False,high_rmse,megaloc+mapclosures,8.354925162964841,True,12,10,0.3536050040022953,0.5776590243061541
Alpha,147,Bob,149,False,high_rmse,megaloc,8.350623725683553,True,60,36,0.3503278856085101,0.6006172839506173
Alpha,148,Carol,140,False,high_rmse,megaloc+mapclosures,11.251336823067678,False,15,11,0.35096190449783465,0.49868572367340236
Alpha,149,Bob,150,True,accepted,mapclosures,9.380975711451429,True,12,10,0.34545166330608723,0.6126709387593314
Alpha,149,Carol,143,False,high_rmse,megaloc,9.236763514126922,True,29,16,0.351363588985957,0.4938116872943757
Alpha,150,Bob,153,True,accepted,megaloc,7.29716482307608,True,38,26,0.33258132941170104,0.6696644000877385
Alpha,152,Bob,137,False,high_rmse,mapclosures,26.57538975717802,False,13,9,0.35602337393451183,0.3815639077523028
Alpha,152,Carol,148,False,high_rmse,megaloc+mapclosures,7.1449680058554765,True,10,7,0.35456755599898027,0.4855164617775894
Alpha,153,Bob,155,True,accepted,megaloc,8.309309588643043,True,36,27,0.33730521727692214,0.6459604499007572
Alpha,153,Carol,149,False,high_rmse,megaloc+mapclosures,7.161880001017425,True,12,9,0.3517962190976497,0.4967577262693157
Alpha,155,Bob,156,True,accepted,mapclosures,9.359575458432206,True,11,11,0.33301261836223195,0.6233471854930109
Alpha,155,Carol,150,True,accepted,megaloc,8.18022555449372,True,51,28,0.3486318886551455,0.4927227547035854
Alpha,157,Carol,152,True,accepted,megaloc+mapclosures,8.180985779784828,True,10,8,0.34838330112930105,0.499
Alpha,159,Carol,155,True,accepted,megaloc+mapclosures,7.093857944700429,True,10,8,0.34474503799454964,0.5042951696944092
Alpha,160,Carol,155,True,accepted,mapclosures,8.053994003564972,True,10,9,0.3463033002981946,0.4950711167441205
Alpha,162,Bob,161,True,accepted,mapclosures,11.478602367972298,False,7,6,0.3451497531469419,0.5998700642460117
Alpha,163,Carol,153,True,accepted,mapclosures,12.32766087906629,False,11,6,0.34822892413156703,0.44787459785064004
Alpha,167,Bob,169,True,accepted,mapclosures,9.246146610011127,True,12,9,0.3379398239001194,0.6828318817629981
Alpha,168,Carol,162,True,accepted,mapclosures,6.236406126776802,True,11,7,0.3418153289775817,0.5836282142014626
Alpha,171,Bob,175,True,accepted,megaloc+mapclosures,8.792642826602666,True,8,6,0.34482167627500426,0.6192960598037689
Alpha,171,Carol,168,False,high_rmse,megaloc,5.105611926522562,True,42,25,0.35070519143122597,0.5457015160809745
Alpha,172,Carol,169,False,high_rmse,megaloc+mapclosures,5.060695638316522,True,10,8,0.35154507634616744,0.529113706630024
Alpha,177,Carol,174,True,accepted,mapclosures,5.083479318144888,True,12,10,0.34697840158315857,0.565238291443483
Alpha,178,Bob,181,True,accepted,mapclosures,9.739931641125224,True,11,8,0.335973008647729,0.6457014211340931
Alpha,180,Carol,177,True,accepted,mapclosures,4.99502318795592,True,10,9,0.33651159971678873,0.5901859577175989
Alpha,182,Bob,184,True,accepted,mapclosures,10.818224835109287,False,8,6,0.3330880723614257,0.6324371673067852
Alpha,183,Carol,179,True,accepted,mapclosures,6.028756665091116,True,10,7,0.3383867932287849,0.5355201990440647
Alpha,186,Carol,183,True,accepted,mapclosures,4.961985655039407,True,14,10,0.33535057825834363,0.5370529516758115
Alpha,187,Carol,184,True,accepted,megaloc,4.894671357227087,True,29,16,0.32287910469074405,0.5238231302235874
Alpha,189,Carol,187,True,accepted,mapclosures,4.858005033120098,True,11,9,0.32378598702055644,0.5043537006455487
Alpha,190,Bob,194,True,accepted,megaloc,9.052413411979042,True,25,13,0.3144633608000295,0.4994736842105263
Alpha,191,Bob,195,True,accepted,mapclosures,8.988565074898931,True,9,6,0.3105460918535613,0.5278033996573989
Alpha,192,Carol,189,True,accepted,mapclosures,6.016155788479624,True,10,7,0.3147463854452783,0.5055859088314442
Alpha,204,Bob,208,True,accepted,megaloc,9.207412516106617,True,26,16,0.3100565123806241,0.6854662191740843
Alpha,204,Carol,201,True,accepted,mapclosures,6.611640267831037,True,9,8,0.3094370147557278,0.6716047268367871
Alpha,205,Bob,206,True,accepted,mapclosures,12.373696026424861,False,7,6,0.3149722268871792,0.637772288344936
Alpha,212,Carol,210,True,accepted,mapclosures,5.920014113881185,True,6,6,0.332066692259415,0.6760768335273574
Alpha,213,Carol,211,True,accepted,megaloc,5.951283070131246,True,21,17,0.3379279179100323,0.6393475770034374
Alpha,214,Bob,219,True,accepted,megaloc,7.935549848552026,True,11,8,0.31528183431321843,0.6793076760712025
Alpha,216,Carol,213,True,accepted,megaloc,6.775203753629186,True,11,6,0.3376036907898706,0.5401793721973094
Alpha,217,Bob,222,True,accepted,megaloc,7.785222557282475,True,13,7,0.32837252599105493,0.6325118163403106
Alpha,219,Carol,213,False,mapclosures_no_pose,megaloc,9.828851819657432,True,9,3,,
Alpha,220,Bob,222,False,mapclosures_no_pose,megaloc,10.876565838963636,False,10,2,,
Alpha,221,Bob,226,True,accepted,megaloc+mapclosures,7.635145151699366,True,8,6,0.3192969177235794,0.6740316901408451
Alpha,223,Carol,221,True,accepted,megaloc,5.565668239912293,True,20,12,0.31514069596781774,0.6749393694421989
Alpha,224,Bob,227,False,mapclosures_no_pose,megaloc,9.599266890415791,True,15,5,,
Alpha,226,Carol,224,True,accepted,megaloc,5.39579121504573,True,11,10,0.31733751284809714,0.6814986353486064
Alpha,230,Carol,227,False,mapclosures_no_pose,megaloc,6.197363590357572,True,9,4,,
Alpha,233,Carol,231,True,accepted,megaloc,4.948739369383871,True,17,15,0.31973538665918066,0.6809006211180124
Alpha,234,Bob,239,False,mapclosures_no_pose,megaloc,7.118926698265846,True,9,4,,
Alpha,236,Carol,234,True,accepted,megaloc,4.772988388128867,True,12,9,0.3234355247195156,0.6780454127032832
Alpha,240,Carol,238,True,accepted,megaloc,4.47272027965805,True,17,14,0.34340825698196087,0.6936434108527132
Alpha,242,Bob,247,True,accepted,megaloc,6.682877563561295,True,14,12,0.33871094461368945,0.7186308334846558
Alpha,243,Carol,241,True,accepted,megaloc,4.328740475465415,True,17,13,0.3452473904208106,0.7006250930197946
Alpha,245,Bob,250,True,accepted,megaloc,6.593628100928815,True,15,14,0.3096852250178214,0.7362712326898151
Alpha,246,Carol,244,True,accepted,megaloc,4.210466392140732,True,12,11,0.3430148573649554,0.6919739696312365
Alpha,248,Bob,252,True,accepted,megaloc,7.644384438701808,True,24,15,0.3292045964503678,0.7047567469988266
Alpha,249,Carol,247,True,accepted,megaloc+mapclosures,4.1126944929067974,True,6,6,0.3431999694915879,0.7062146892655368
